Timestamp,"Consent to Participate: Platform Use and Communication Survey

This survey is part of a research project at BRAC University studying how students and teachers manage communication across LMS platforms (e.g., Moodle, Google Classroom) and messaging apps (e.g., WhatsApp, Discord). It takes approximately 5-8 minutes.

Participation is completely voluntary. You may stop at any time by closing the form; partial responses will not be used.

This survey does not collect your name, email, student ID, or any other identifying information—your responses are fully anonymous and cannot be traced back to you.
There are no known risks to participating.

If you have questions about this research, you may contact [md.shamim.mia@g.bracu.ac.bd, israt.jahan.khan1@g.bracu.ac.bd, jamiul.haque.dipto@g.bracu.ac.bd].",1. What is your role?,2. What is your academic level/year of study? (if student),3. Name/Location of the university you are currently teaching/studying at?,4. What is your field of study/teaching?,5. Which LMS do you primarily use for your courses?,6. Which messaging platform(s) do you use alongside your LMS for course communication? (Select all that apply),"7. On average, how many separate platforms (LMS + messaging apps combined) do you use to keep up with a single course?","8. On a typical day, how many times do you switch between your LMS and messaging apps to check for course-related updates?",Mental Demand: How mentally demanding is it to keep track of information across your LMS and messaging apps?,"Physical Demand: How much physical effort (clicking, typing, switching apps/tabs, unlocking phone) does it take?",Temporal Demand: How rushed or under pressure do you feel from needing to constantly check multiple platforms?,Performance: How successful do you feel you are at keeping track of important course announcements and deadlines?,Effort: How much effort do you have to put in to coordinate and keep up with communication across platforms?,"Frustration: How irritated, stressed, or discouraged do you feel while managing communication across platforms?",1. How often do you miss an important deadline or announcement because it was posted on a platform you don't check regularly?,"2. ""I often feel like I've missed something important because course communication is spread across multiple platforms.""",3. Describe how your ideal learning management system should be? What features it should incorporate?,Overall_NASA_TLX,q8_num,miss_freq_num,miss_agree_num,q7_binary,uni_clean
8/27/2026 12:32:24,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC,CS,Google Classroom,"WhatsApp, Discord, Messenger, Slack",1,0-2 times,6,7,7,5,6,7,Sometimes,Agree,Single unified platform,6.333333333333333,1,3,4,Single Channel (1),BRAC University
8/27/2026 12:34:07,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac University ,Computer science ,Discord,"Discord, Messenger",4 or more,3-5 times,7,7,7,5,5,6,Sometimes,Strongly Disagree,"Announcement, threads for text, file upload, notifications sent by mail as well, reminder for deadlines/events like quizzes",6.166666666666667,2,3,1,Multi Channel (2+),BRAC University
8/27/2026 12:34:42,I have read the above information and voluntarily agree to participate.,Student,3rd year,Brac University,CS,Google Classroom,"Discord, Slack",2,3-5 times,5,5,5,5,6,6,Sometimes,Agree,"Notifications reaching us on time. Sometimes, the announcements come delayed on my device or never show up at all unless I decide to check the app randomly",5.333333333333333,2,3,4,Multi Channel (2+),BRAC University
8/27/2026 12:35:03,I have read the above information and voluntarily agree to participate.,Student,3rd year,Brac University ,CSE,Google Classroom,"Discord, Slack",4 or more,3-5 times,7,3,7,4,6,7,Sometimes,Strongly Agree,"One platform, arranged in course order with deadlines and schedules incorporated in a calander. If not possible then a middle app that fetches important notices from other platforms and keeps everything in one place",5.666666666666667,2,3,5,Multi Channel (2+),BRAC University
8/27/2026 12:35:47,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University,CSE,Discord,"Discord, Slack",2,6-10 times,6,4,5,4,6,5,Sometimes,Agree,Discord. Just put everything in discord ,5.0,3,3,4,Multi Channel (2+),BRAC University
8/27/2026 12:38:37,I have read the above information and voluntarily agree to participate.,Student,4th year,BRAC University ,Computer Science,Google Classroom,"Discord, Slack",2,3-5 times,5,7,7,1,7,7,Rarely,Agree,"A single discord-like system only accessible using edu mail, seperate discord-server like structures for each course and section where faculties can create channels depending on topic along with course coordinator level channels for coursewide announcements. 

Preferably combined with connect so attendence can be checked in the same place and android/ios apps included",5.666666666666667,2,2,4,Multi Channel (2+),BRAC University
8/27/2026 12:43:51,I have read the above information and voluntarily agree to participate.,Student,4th year,Bracu,CS,Google Classroom,"WhatsApp, Discord, Messenger, Slack",1,0-2 times,2,2,2,2,2,2,Sometimes,Neutral,Discord ,2.0,1,3,3,Single Channel (1),BRAC University
8/27/2026 12:45:25,I have read the above information and voluntarily agree to participate.,Student,4th year,BRACU,CSE,Google Classroom,"Discord, Slack",3,11+ times,5,5,7,5,6,7,Sometimes,Agree,dicord or slack ,5.833333333333333,4,3,4,Multi Channel (2+),BRAC University
8/27/2026 12:48:32,I have read the above information and voluntarily agree to participate.,Student,3rd year,bracu,cse,discord/slack/google classroom ,"WhatsApp, Discord, Messenger, Slack",3,6-10 times,5,5,5,4,3,5,Sometimes,Agree,,4.5,3,3,4,Multi Channel (2+),BRAC University
8/27/2026 12:50:25,I have read the above information and voluntarily agree to participate.,Student,4th year,Brac University ,Computer Science Engineering ,Google Classroom,"Discord, Slack",1,0-2 times,1,1,1,3,6,5,Rarely,Neutral,Central magazine ,2.8333333333333335,1,2,3,Single Channel (1),BRAC University
