timestamp,consent,role,academic_level,university,field,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,feedback_confusing,feedback_liked,task1_announcements,task2_messaging,task3_ease,sus_score
8/30/2026 12:08:19,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac,Cse,4,2,3,3,3,3,3,3,3,3,no sir,,Yes,Yes,About the same,55.0
8/30/2026 12:09:11,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC UNIVERSITY,Computer Science and Engineering ,4,2,4,2,4,2,3,2,4,3,Not at all,Everything was good ,Yes,Yes,Much easier,70.0
8/30/2026 12:09:44,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac University ,CSE,5,1,5,3,3,3,3,3,3,3,,,Unsure,Unsure,About the same,65.0
8/30/2026 12:09:45,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac University ,CSE,4,2,4,2,3,2,5,4,3,2,,,Yes,Yes,Somewhat easier,67.5
8/30/2026 12:09:48,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC UNIVERSITY,Computer Science and Engineering ,5,1,5,1,5,1,5,1,5,3,,,Yes,Yes,Much easier,95.0
8/30/2026 12:09:51,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac University ,CSE,3,2,3,3,2,1,3,3,3,3,,,Yes,Yes,Somewhat harder,55.0
8/30/2026 12:10:50,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac university ,CSE,4,4,4,4,4,4,4,4,4,4,No,.,Yes,Yes,Much easier,50.0
8/30/2026 12:11:10,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC University,CSE,3,1,5,1,5,1,5,1,4,1,No,Extremely easy to use,Yes,Yes,Somewhat easier,92.5
8/30/2026 12:11:22,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC University ,Computer Science,4,2,3,2,4,2,5,1,5,1,Nothing confusing,It's better to have everything in one place,Yes,Yes,Much easier,82.5
8/30/2026 12:11:38,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC university ,Computer Science ,4,2,4,3,2,1,5,1,5,1,No,Yes,Yes,Yes,Somewhat harder,80.0
8/30/2026 12:11:45,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac University ,Computer science ,5,2,5,1,5,1,5,3,5,1,no all the features are well integrated ,it was easy to use,Yes,Yes,Much easier,92.5
8/30/2026 12:12:00,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC UNIVERSITY ,CS,3,3,3,3,3,3,3,3,3,3,,,Yes,Yes,About the same,50.0
8/30/2026 12:12:12,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac,Cse,3,2,4,1,4,2,4,1,4,2,No but it is very similar to google classroom,It is convenient,Yes,Yes,About the same,77.5
8/30/2026 12:12:30,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRACU,CSE ,1,1,1,1,1,1,1,1,1,1,Not at all,It was really convenient ,Yes,Yes,Somewhat easier,50.0
8/30/2026 12:12:54,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC University ,CSE,5,1,5,1,5,1,4,1,5,1,No. ,"Yes. Each student had their own privacy system, which I liked a lot. ",Yes,Yes,Much easier,97.5
8/30/2026 12:13:06,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Badda,CSE,4,3,3,3,3,2,4,4,4,3,No,No,Unsure,Unsure,Somewhat easier,57.5
8/30/2026 12:13:56,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC University ,Computer Science ,3,2,4,2,4,3,4,2,4,3,No,Overall it was a good experience ,Yes,Yes,Somewhat easier,67.5
8/30/2026 12:14:10,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC UNIVERSITY ,Computer Science ,3,2,3,2,3,2,3,1,3,3,,,Yes,Yes,Much easier,62.5
8/30/2026 12:14:16,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,"BRAC University, Merul Badda, Dhaka.",CSE,4,3,3,2,4,1,4,2,4,2,"I guess there is a prototype demonstration needed here, then It'll be easier to use.",I liked the concept overall,Yes,Yes,Somewhat easier,72.5
8/30/2026 12:14:29,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac University ,CSE,3,2,4,1,4,2,4,1,4,1,"no, its pretty similar to Google classroom ","yes, easy to keep track of resources and deadlines.",Yes,Yes,About the same,80.0
8/30/2026 12:16:33,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac University ,CS,5,4,4,4,4,2,4,2,4,2,No,Yes ,Unsure,Yes,About the same,67.5
8/30/2026 12:18:56,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac University ,CSE,3,3,3,3,3,3,3,2,3,3,No,Yes,Yes,Yes,Somewhat easier,52.5
8/30/2026 13:41:04,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,Brac University ,Cse,5,1,5,5,5,3,4,1,5,2,,,Yes,No,Somewhat harder,80.0
8/30/2026 13:41:51,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC University ,CSE,2,2,1,2,2,1,2,1,2,2,Yes,No,Yes,Yes,About the same,52.5
8/30/2026 13:42:10,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac university ,CS ,1,1,1,2,2,1,1,1,2,2,,,Yes,Unsure,Much harder,50.0
8/30/2026 13:43:36,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,S.A.M.Rakibul Haider,CSE,1,1,1,1,1,1,1,1,1,1,No,,Yes,Yes,Much harder,50.0
8/30/2026 13:43:51,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC university,CSE Department,3,5,3,2,3,3,5,4,4,5,,,No,No,Somewhat harder,47.5
8/30/2026 13:44:49,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac ,CSE,3,3,4,4,4,4,4,4,4,4,No,No,Yes,Yes,About the same,50.0
8/30/2026 13:45:18,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac University ,CS,3,3,3,3,3,3,3,3,3,3,,,Yes,Yes,Much easier,50.0
8/30/2026 13:45:32,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC University,CSE,5,1,5,1,5,2,4,2,4,1,,,Yes,Yes,Much easier,90.0
8/30/2026 13:45:44,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRACU,CSE,5,1,5,1,5,1,5,1,5,1,No,It is just like Google classroom,Yes,Yes,Much easier,100.0
8/30/2026 13:46:01,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC UNIVERSITY ,Computer science ,5,3,5,1,4,2,5,2,5,1,Not really.,I like how I don't have to check multiple platforms.,Yes,Yes,Much easier,87.5
8/30/2026 13:46:15,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC University ,CS,4,2,4,2,4,2,4,2,3,1,It looked quite similar to google classroom.,Not really.,Yes,Yes,Somewhat easier,75.0
8/30/2026 13:46:26,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC,Computer Science Engineering ,4,3,4,2,4,2,4,2,4,2,No,Easy and well organized access,Yes,Unsure,About the same,72.5
8/30/2026 13:46:43,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Teacher / Faculty,2nd Year,Brac University ,Cse,3,2,3,2,4,2,4,2,3,3,No,,Yes,Yes,Somewhat easier,65.0
8/30/2026 13:46:50,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC UNIVERSITY ,CSE,4,2,3,4,4,4,5,2,3,4,No confusion,The convenience ,Yes,Yes,Much easier,57.5
8/30/2026 13:46:53,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC University ,CSE,5,2,4,2,4,2,5,2,4,2,,It's wayyy more convenient than switching between multiple apps and websites.,Yes,Yes,Much easier,80.0
8/30/2026 13:46:55,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC University ,Computer Science and Engineering ,5,1,4,1,5,3,5,1,5,1,Not really. Seemed good. The UI might feel a bit overwhelming for someone who is using this for the first time but with time it is easily adaptable,Yeah definitely. Simple. Modular and well organised. Easy to track if anyone has missed a lot of classes,Yes,Yes,Somewhat easier,92.5
8/30/2026 13:47:35,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC University,Computer Science and Engineering,5,2,5,2,3,3,4,1,4,1,,The Idea to use a unified platform for every course,Yes,Yes,Much easier,80.0
8/30/2026 13:48:13,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,Brac,CSE,4,2,4,4,3,2,2,2,3,3,No,Convenient ,Yes,No,Somewhat easier,57.5
8/30/2026 13:48:23,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC UNIVERSITY ,Cse,4,4,4,4,4,2,4,2,4,1,"No, it felt like I was in Google classroom ",It was convenient as I could do everything under one app rather than switching between apps,Yes,Yes,Somewhat easier,67.5
8/30/2026 13:48:39,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BracU,CS,5,1,5,1,5,1,5,1,5,1,No,Course Materials ,Yes,Yes,Somewhat easier,100.0
8/30/2026 13:49:13,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Bracu,Cse,4,4,4,4,4,4,4,4,4,4,Yes confusion ,Yes i like that,Yes,Yes,Much harder,50.0
8/30/2026 13:50:00,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac University,Computer Science,4,3,4,2,4,2,3,2,3,2,,,Yes,No,Somewhat easier,67.5
8/30/2026 13:50:02,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRACU ,CSE,3,2,3,2,3,1,3,2,2,3,,,Yes,Yes,Somewhat easier,60.0
8/30/2026 13:50:12,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRACU,CSE,5,1,5,1,5,1,5,1,5,1,No,It is like Google classroom,Yes,Yes,Much easier,100.0
8/30/2026 13:50:38,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac University ,CSE,4,2,2,2,4,2,4,2,3,2,Not really ,It was convenient ,Unsure,Unsure,About the same,67.5
8/30/2026 13:51:09,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,Brac University ,Cs,3,4,5,3,4,3,3,3,5,3,No,,Yes,Unsure,Much harder,60.0
8/30/2026 13:52:14,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,Brac University ,CS,4,3,3,2,4,2,4,2,4,3,Not really ,Yes because it will save a lot of time,Yes,Yes,Much easier,67.5
8/30/2026 13:52:42,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,Brac University ,CS,1,3,2,3,3,3,3,4,3,3,,,Unsure,Yes,About the same,40.0
8/30/2026 21:53:24,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,Brac University,Computer Science and Engineering ,3,3,3,3,4,2,3,3,3,3,"UI is a bit confusing and looks very simple, but i think regular use will make the user get used to it.",,Yes,Yes,Somewhat harder,55.0
8/30/2026 22:01:23,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,BRAC University,Computer Science and Engineering ,4,2,5,2,4,2,3,1,3,2,,,Yes,Yes,Somewhat easier,75.0
8/30/2026 22:03:16,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,BRAC University,Computer Science and Engineering (CSE),4,1,4,1,2,1,3,4,3,1,,,Yes,Yes,About the same,70.0
8/30/2026 22:04:32,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,Brac University ,CSE ,4,2,4,2,4,1,4,2,4,2,,,Yes,Yes,About the same,77.5
8/30/2026 22:07:24,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,Brac University ,CSE,3,3,4,2,4,2,4,2,4,2,,,Yes,Yes,About the same,70.0
8/30/2026 22:13:19,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,Brac University ,CS,5,2,4,2,4,2,4,2,4,2,,,Yes,Yes,Somewhat easier,77.5
8/30/2026 23:21:47,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,Brac University,Cse,5,1,5,1,5,1,5,1,5,1,"No, That was very clearcut and organised. I liked it","Obviously. For my case, I have to visit every time to various websites to know anything.Like i have to check slack, gmail, classroom, bux etc everyday to get informed about something or to reach my faculty. It is very good to have everything in one place",Yes,Yes,Much easier,100.0
8/30/2026 23:32:37,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,2nd Year,BRAC UNIVERSITY,CSE,3,2,4,1,3,4,5,2,2,2,NO,YES,Unsure,Unsure,About the same,65.0
8/31/2026 20:15:15,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,1st Year,BRAC University,ESS,5,1,5,1,4,1,4,1,4,1,Not Really ,I think I would like to use a centralized app rather than using different apps for communication for different faculties. ,Yes,Yes,About the same,92.5
