Timestamp,Consent Agreement,1. Primary Role:,2. Academic Level (if student):,3. Name/Location of the university you are currently teaching/studying at?,4. Field of Study / Department:,System Evaluation Statements [1. I think that I would like to use this system frequently.],System Evaluation Statements [2. I found the system unnecessarily complex.],System Evaluation Statements [3. I thought the system was easy to use.],System Evaluation Statements [4. I think that I would need the support of a technical person to be able to use this system.],System Evaluation Statements [5. I found the various functions in this system were well integrated.],System Evaluation Statements [6. I thought there was too much inconsistency in this system.],System Evaluation Statements [7. I would imagine that most people would learn to use this system very quickly.],System Evaluation Statements [8. I found the system very cumbersome/awkward to use.],System Evaluation Statements [9. I felt very confident using the system.],System Evaluation Statements [10. I needed to learn a lot of things before I could get going with this system.],11. Was there anything about the prototype that felt confusing or frustrating?,12. Was there anything you particularly liked about having everything in one place?,"1. During the walkthrough, were you able to find where course announcements are posted?","2. During the walkthrough, were you able to find where to send a message to a classmate or instructor?","3. Compared to switching between your current LMS and messaging apps, how would you rate the ease of finding information in this prototype?"
8/30/2026 12:08:19,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac,Cse,Agree (4),Disagree (2),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),no sir,,Yes,Yes,About the same
8/30/2026 12:09:11,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC UNIVERSITY,Computer Science and Engineering ,Agree (4),Disagree (2),Agree (4),Disagree (2),Agree (4),Disagree (2),Neutral (3),Disagree (2),Agree (4),Neutral (3),Not at all,Everything was good ,Yes,Yes,Much easier
8/30/2026 12:09:44,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac University ,CSE,Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),,,Unsure,Unsure,About the same
8/30/2026 12:09:45,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,Brac University ,CSE,Agree (4),Disagree (2),Agree (4),Disagree (2),Neutral (3),Disagree (2),Strongly Agree (5),Agree (4),Neutral (3),Disagree (2),,,Yes,Yes,Somewhat easier
8/30/2026 12:09:48,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,3rd Year,BRAC UNIVERSITY,Computer Science and Engineering ,Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Neutral (3),,,Yes,Yes,Much easier
8/30/2026 12:09:51,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac University ,CSE,Neutral (3),Disagree (2),Neutral (3),Neutral (3),Disagree (2),Strongly Disagree (1),Neutral (3),Neutral (3),Neutral (3),Neutral (3),,,Yes,Yes,Somewhat harder
8/30/2026 12:10:50,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,Brac university ,CSE,Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),No,.,Yes,Yes,Much easier
8/30/2026 12:11:10,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC University,CSE,Neutral (3),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Agree (4),Strongly Disagree (1),No,Extremely easy to use,Yes,Yes,Somewhat easier
8/30/2026 12:11:22,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC University ,Computer Science,Agree (4),Disagree (2),Neutral (3),Disagree (2),Agree (4),Disagree (2),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Nothing confusing,It's better to have everything in one place,Yes,Yes,Much easier
8/30/2026 12:11:38,"I have read the above information and voluntarily agree to participate, including being recorded as described above.",Student,4th Year,BRAC university ,Computer Science ,Agree (4),Disagree (2),Agree (4),Neutral (3),Disagree (2),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),Strongly Agree (5),Strongly Disagree (1),No,Yes,Yes,Yes,Somewhat harder
